код,название,значение
688,СЕРБИЯ,Strana_688SrbSerbiyaMember
690,СЕЙШЕЛЫ,Strana_690SycSejshelyMember
694,СЬЕРРА-ЛЕОНЕ,Strana_694SleSerraLeoneMember
702,СИНГАПУР,Strana_702SgpSingapurMember
703,СЛОВАКИЯ,Strana_703SvkSlovakiyaMember
704,ВЬЕТНАМ,Strana_704VnmVetnamMember
705,СЛОВЕНИЯ,Strana_705SvnSloveniyaMember
706,СОМАЛИ,Strana_706SomSomaliMember
710,ЮЖНАЯ АФРИКА,Strana_710ZafYUzhnayaAfrikaMember
716,ЗИМБАБВЕ,Strana_716ZweZimbabveMember
724,ИСПАНИЯ,Strana_724EspIspaniyaMember
728,ЮЖНЫЙ СУДАН,Strana_728SsdYUzhnyjSudanMember
729,СУДАН,Strana_729SdnSudanMember
732,ЗАПАДНАЯ САХАРА,Strana_732EshZapadnayaSaxaraMember
740,СУРИНАМ,Strana_740SurSurinamMember
744,ШПИЦБЕРГЕН И ЯН МАЙЕН,Strana_744SjmSHpiczbergenIYAnMajenMember
748,ЭСВАТИНИ,Strana_748SwzSvazilendMember
752,ШВЕЦИЯ,Strana_752SweSHvecziyaMember
756,ШВЕЙЦАРИЯ,Strana_756CheSHvejczariyaMember
760,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА,Strana_760SyrSirijskayaArabskayaRespublikaMember
762,ТАДЖИКИСТАН,Strana_762TjkTadzhikistanMember
764,ТАИЛАНД,Strana_764ThaTailandMember
768,ТОГО,Strana_768TgoTogoMember
772,ТОКЕЛАУ,Strana_772TklTokelauMember
776,ТОНГА,Strana_776TonTongaMember
780,ТРИНИДАД И ТОБАГО,Strana_780TtoTrinidadITobagoMember
784,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ,Strana_784AreObedinennyeArabskieEmiratyMember
788,ТУНИС,Strana_788TunTunisMember
792,ТУРЦИЯ,Strana_792TurTurcziyaMember
795,ТУРКМЕНИСТАН,Strana_795TkmTurkmeniyaMember
796,ОСТРОВА ТЕРКС И КАЙКОС,Strana_796TcaOstrovaTerksIKajkosMember
798,ТУВАЛУ,Strana_798TuvTuvaluMember
800,УГАНДА,Strana_800UgaUgandaMember
804,УКРАИНА,Strana_804UkrUkrainaMember
807,СЕВЕРНАЯ МАКЕДОНИЯ,Strana_807MkdRespublikaMakedoniyaMember
818,ЕГИПЕТ,Strana_818EgyEgipetMember
826,СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ,Strana_826GbrSoedinennoeKorolevstvoMember
831,ГЕРНСИ,Strana_831GgyGernsiMember
832,ДЖЕРСИ,Strana_832JeyDzhersiMember
833,ОСТРОВ МЭН,Strana_833ImnOstrovMenMember
834,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА",Strana_834TzaTanzaniyaObedinennayaRespublikaMember
840,СОЕДИНЕННЫЕ ШТАТЫ,Strana_840UsaSoedinennyeSHtatyMember
850,ВИРГИНСКИЕ ОСТРОВА (США),Strana_850VirVirginskieOstrovaSshaMember
854,БУРКИНА-ФАСО,Strana_854BfaBurkinaFasoMember
858,УРУГВАЙ,Strana_858UryUrugvajMember
860,УЗБЕКИСТАН,Strana_860UzbUzbekistanMember
862,ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА),Strana_862VenVenesuelaMember
876,УОЛЛИС И ФУТУНА,Strana_876WlfUollisIFutunaMember
882,САМОА,Strana_882WsmSamoaMember
887,ЙЕМЕН,Strana_887YemJemenMember
894,ЗАМБИЯ,Strana_894ZmbZambiyaMember
895,АБХАЗИЯ,Strana_895AbhAbxaziyaMember
896,ЮЖНАЯ ОСЕТИЯ,Strana_896OstYUzhnayaOsetiyaMember
897,ДНР,Strana_897DnrDoneczkayaNarodnRespMember
898,ЛНР,Strana_898LnrLuganskayaNarondRespMember
996,МЕЖДУНАРОДНАЯ КОМПАНИЯ,Strana_996MezhdunarodnayaKompMember
998,МЕЖДУНАРОДНАЯ ОРГАНИЗАЦИЯ,Strana_998Mezhdunarodnaya_organizacziyaMember
999,ЛИЦО БЕЗ ГРАЖДАНСТВА,Liczo_bez_grazhdanstvaMember
0,,Strana_InoMember
